Generation 286, Best fitness: 32.95017507779514, Average fitness: 25.916275914521375
Generation 287, Best fitness: 33.017284531234345, Average fitness: 25.84013923283624
Generation 288, Best fitness: 33.31188205102285, Average fitness: 25.822125328000176
Generation 289, Best fitness: 33.31188205102285, Average fitness: 25.81837531463882
Generation 290, Best fitness: 33.06708282767067, Average fitness: 25.847945097149815
Generation 291, Best fitness: 33.06708282767067, Average fitness: 25.934545747992328
Generation 292, Best fitness: 33.06708282767067, Average fitness: 26.003658169031638
Generation 293, Best fitness: 33.06708282767067, Average fitness: 25.999697204863033
Generation 294, Best fitness: 33.06708282767067, Average fitness: 26.003798598319598
Generation 295, Best fitness: 33.06708282767067, Average fitness: 25.982039099953944
Generation 296, Best fitness: 32.893205064157186, Average fitness: 25.99546135612244
Generation 297, Best fitness: 32.893205064157186, Average fitness: 25.959124084995295
Generation 298, Best fitness: 33.00186104333735, Average fitness: 25.962140524511902
Generation 299, Best fitness: 33.00186104333735, Average fitness: 25.93490045139372
Generation 300, Best fitness: 33.00186104333735, Average fitness: 25.918383840458482
Generation 301, Best fitness: 33.09391369810407, Average fitness: 25.973050382028227
Generation 302, Best fitness: 33.09391369810407, Average fitness: 25.981943201036003
Generation 303, Best fitness: 33.09391369810407, Average fitness: 26.035369628067944
Generation 304, Best fitness: 33.06720461580506, Average fitness: 26.04434804852999
Generation 305, Best fitness: 33.22700659242908, Average fitness: 26.026593584560775
Generation 306, Best fitness: 33.22700659242908, Average fitness: 25.9900942171949
Generation 307, Best fitness: 33.39419632728542, Average fitness: 25.965444452270013
Generation 308, Best fitness: 33.39419632728542, Average fitness: 25.979944601114788
Generation 309, Best fitness: 33.06720461580506, Average fitness: 25.957232430501787
Generation 310, Best fitness: 33.11848777716207, Average fitness: 26.019200007523917
Generation 311, Best fitness: 33.11848777716207, Average fitness: 26.02939179809731
Generation 312, Best fitness: 33.11848777716207, Average fitness: 26.0519884068564
Generation 313, Best fitness: 33.11848777716207, Average fitness: 26.05199586344178
Generation 314, Best fitness: 33.22069980608865, Average fitness: 26.022101913049475
Generation 315, Best fitness: 33.14031801623514, Average fitness: 26.0401494495662
Generation 316, Best fitness: 33.241448569475374, Average fitness: 26.0632621086584
Generation 317, Best fitness: 33.241448569475374, Average fitness: 26.075874080793227
Generation 318, Best fitness: 33.241448569475374, Average fitness: 26.042362018827625
Generation 319, Best fitness: 33.241448569475374, Average fitness: 26.060399156876723
Generation 320, Best fitness: 33.32935973952263, Average fitness: 26.067456776323507
Generation 321, Best fitness: 33.32935973952263, Average fitness: 26.03998701125339
Generation 322, Best fitness: 33.66241691227357, Average fitness: 26.0553423239584
Generation 323, Best fitness: 33.66241691227357, Average fitness: 26.06436203003118
Generation 324, Best fitness: 33.08269249320468, Average fitness: 26.038203082791078
Generation 325, Best fitness: 33.08269249320468, Average fitness: 26.03567891094646
Generation 326, Best fitness: 33.08269249320468, Average fitness: 26.008196417451675
Generation 327, Best fitness: 32.82672191856096, Average fitness: 25.97934325404809
Generation 328, Best fitness: 33.29809180327081, Average fitness: 25.919504648416222
Generation 329, Best fitness: 33.039660553923426, Average fitness: 25.927752827828744
Generation 330, Best fitness: 32.80433397573696, Average fitness: 25.892454941356075
Generation 331, Best fitness: 32.98515168046389, Average fitness: 25.870826362247026
Generation 332, Best fitness: 32.98515168046389, Average fitness: 25.860329682395676
Generation 333, Best fitness: 32.82577932998107, Average fitness: 25.94275969841631
Generation 334, Best fitness: 32.82577932998107, Average fitness: 25.93754262376872
Generation 335, Best fitness: 32.82577932998107, Average fitness: 25.943399435889237
Generation 336, Best fitness: 32.96054532409768, Average fitness: 26.029387967925345
Generation 337, Best fitness: 32.96054532409768, Average fitness: 25.98827161584321
Generation 338, Best fitness: 32.82577932998107, Average fitness: 26.00375714889229
Generation 339, Best fitness: 32.85098574282787, Average fitness: 26.04278150700982
Generation 340, Best fitness: 32.732565913532454, Average fitness: 26.049397856039256
Generation 341, Best fitness: 32.61661812369144, Average fitness: 26.026837234135993
Generation 342, Best fitness: 33.16623396877685, Average fitness: 26.01370853188959
Generation 343, Best fitness: 33.16623396877685, Average fitness: 25.969926506513108
Generation 344, Best fitness: 33.16623396877685, Average fitness: 25.958960764686257
Generation 345, Best fitness: 33.39419632728542, Average fitness: 26.018282805608273
Generation 346, Best fitness: 33.39419632728542, Average fitness: 26.055702434123425
Generation 347, Best fitness: 33.39419632728542, Average fitness: 26.089912667717066
Generation 348, Best fitness: 33.325628340256735, Average fitness: 26.070934053891992
Generation 349, Best fitness: 33.325628340256735, Average fitness: 26.07127399614244
Generation 350, Best fitness: 33.41778328296912, Average fitness: 26.12078640447821
Generation 351, Best fitness: 33.398683385872225, Average fitness: 26.097254633819777
Generation 352, Best fitness: 33.398683385872225, Average fitness: 26.123667317593725
Generation 353, Best fitness: 33.398683385872225, Average fitness: 26.120167949314393
Generation 354, Best fitness: 33.398683385872225, Average fitness: 26.089056858491617
Generation 355, Best fitness: 33.2388338469507, Average fitness: 26.064732369877063
Generation 356, Best fitness: 33.398683385872225, Average fitness: 26.082048962068956
Generation 357, Best fitness: 33.10240463538183, Average fitness: 26.04407292334424
Generation 358, Best fitness: 32.81034736846425, Average fitness: 26.053795720230834
Generation 359, Best fitness: 32.82581077048577, Average fitness: 26.08113347224142
Generation 360, Best fitness: 32.97113150860465, Average fitness: 26.037088389254606
Generation 361, Best fitness: 32.97113150860465, Average fitness: 25.958762601633573
Generation 362, Best fitness: 32.8754464179114, Average fitness: 25.930322190495936
Generation 363, Best fitness: 33.33728716735157, Average fitness: 25.925302277301846
Generation 364, Best fitness: 33.33728716735157, Average fitness: 25.958421935070625
Generation 365, Best fitness: 33.33728716735157, Average fitness: 25.982696537440024
Generation 366, Best fitness: 33.44522649576223, Average fitness: 26.016795978685288
Generation 367, Best fitness: 33.44522649576223, Average fitness: 26.03826488529125
Generation 368, Best fitness: 33.30898682887333, Average fitness: 26.051633096653337
Generation 369, Best fitness: 33.224651607071024, Average fitness: 26.074154570350544
Generation 370, Best fitness: 33.224651607071024, Average fitness: 26.051821790153408
Generation 371, Best fitness: 33.224651607071024, Average fitness: 26.069046170428592
Generation 372, Best fitness: 33.224651607071024, Average fitness: 26.021619369123187
Generation 373, Best fitness: 33.224651607071024, Average fitness: 26.039679410853996
Generation 374, Best fitness: 33.224651607071024, Average fitness: 25.996775312425388
Generation 375, Best fitness: 33.08202192892236, Average fitness: 26.005534473475272
Generation 376, Best fitness: 33.325628340256735, Average fitness: 26.10402398832271
Generation 377, Best fitness: 33.16676190999472, Average fitness: 26.046172783448384
Generation 378, Best fitness: 33.29576445472441, Average fitness: 26.065424744139158
Generation 379, Best fitness: 33.56027957112556, Average fitness: 26.031507068199044
Generation 380, Best fitness: 33.56027957112556, Average fitness: 25.990953704513295
Generation 381, Best fitness: 33.118454276906164, Average fitness: 26.00111450178706
Generation 382, Best fitness: 33.118454276906164, Average fitness: 26.02705833642766
Generation 383, Best fitness: 33.118454276906164, Average fitness: 26.0222175578562
Generation 384, Best fitness: 33.118454276906164, Average fitness: 26.033187332407607
Generation 385, Best fitness: 32.9872935810276, Average fitness: 26.04841863858844
Generation 386, Best fitness: 32.71500548184166, Average fitness: 26.021875899449462
Generation 387, Best fitness: 32.71500548184166, Average fitness: 25.98194055658322
